unique_carrier,origin,destination,departure_time,month,day_of_month,day_of_week,distance,is_delayed
HL,MGF,OQY,2119,2,5,6,350,0
XJ,YTL,MSU,2220,4,10,1,201,0
IQ,OMH,TVQ,542,6,17,5,403,0
NB,OLV,ULQ,2200,10,14,5,290,1
XJ,YTL,PRI,1258,3,16,4,788,0
WT,HSR,PIH,657,9,17,6,1846,0
JG,PLG,MGF,1222,5,8,7,686,0
WP,ULQ,PAS,2002,2,16,4,228,0
BN,RVN,FSS,2245,3,8,3,120,1
NB,LHW,TWP,1434,5,28,7,148,0
NB,ULX,OPA,1003,10,7,6,1301,0
NB,CNY,YPU,1452,3,20,1,220,1
MH,QFT,MQJ,632,3,4,5,418,0
OZ,HOT,HSR,1816,2,6,1,416,0
HL,YTL,MGF,625,1,30,7,871,0
RQ,DIE,OMH,1226,5,7,6,944,0
RQ,QTX,MGF,825,6,3,5,1900,0
HH,TVN,HSR,905,2,14,2,160,0
OZ,JNS,SRW,1340,7,26,3,416,1
WT,OMH,PIH,832,6,16,5,2445,0
RQ,TVQ,RTA,1438,7,25,2,432,0
OZ,PTB,QTX,648,3,9,3,109,0
IQ,ORN,OPU,1301,4,15,6,349,0
BN,OMY,OPU,1734,11,17,4,393,0
RQ,TVQ,OPA,1610,12,17,7,425,0
NB,PTB,ULX,1235,5,24,2,304,0
AG,CWI,YTR,1012,2,18,6,284,0
WT,HSR,PBT,1955,5,31,2,1726,1
TT,PVQ,QTX,1842,11,1,2,1593,1
RQ,LHW,TVQ,545,11,19,6,696,0
MH,JNS,QTX,658,11,26,6,2454,0
WP,HSR,ULQ,1607,9,21,3,678,0
HH,UYL,PQM,2045,9,12,1,150,0
HH,PQM,CHY,1301,4,10,1,291,0
NB,QTP,QTX,1325,11,11,6,236,0
HH,PQM,PFW,908,5,7,6,269,0
RQ,TVQ,MQV,1222,10,19,3,227,0
C6,CHP,DIE,1559,11,21,2,187,1
MH,YTL,CLO,1902,12,19,1,562,0
HH,PQM,PIH,1957,10,4,2,599,1
NB,VUT,IQQ,1020,6,25,6,197,0
TT,RIN,PVQ,1920,6,25,6,551,0
AG,MYR,HSR,1015,6,8,4,196,0
HH,HSR,TQC,1646,2,20,1,723,0
NB,VWQ,RTQ,1417,7,11,2,237,0
BN,OPU,YTL,1903,7,16,7,1034,0
NB,CNY,LHW,1758,9,21,3,1246,1
NB,HTE,PJT,752,8,22,2,671,0
OZ,RIN,QIV,820,11,23,4,351,0
TP,URX,RJB,631,3,17,5,992,0
OZ,RPO,HSR,651,12,24,7,299,0
MH,JNS,QTX,2005,8,7,1,2454,0
HH,PIH,TMG,2014,5,13,5,250,0
HH,RJB,CHY,1436,10,27,4,649,1
I9,ULX,RJB,1444,2,13,1,602,0
MH,YTL,RMT,1046,5,27,5,1208,0
TT,RVN,HSR,918,5,6,5,235,0
NB,OMH,IQQ,1650,2,22,3,178,0
NB,PRI,ULX,1805,1,11,3,1506,1
AG,ULX,ITV,1000,5,3,3,493,1
TT,RIN,RVN,648,8,17,3,987,0
C6,DIE,CHP,2028,11,14,2,187,0
TP,PJT,TBM,1028,11,12,7,1449,0
XJ,YTL,DTB,1037,6,11,6,351,0
C6,CHP,HTE,828,6,26,7,2693,0
XJ,SHM,MQJ,1805,11,29,2,245,0
OZ,TQC,HSR,1520,1,4,2,723,0
XJ,PTV,YTL,918,2,16,3,191,0
OZ,SRW,JNS,1707,11,19,6,416,0
NB,QTP,QTX,2154,9,1,5,236,1
NB,PDM,PTB,1755,5,4,3,417,1
NB,TCZ,ULX,1210,6,1,3,328,0
TT,RJB,RIN,1553,5,21,6,641,0
TT,YTR,RIN,1804,5,4,4,1172,0
LT,LBQ,HFF,1404,10,23,7,100,0
MH,LBQ,YTL,1926,1,13,5,3904,0
BN,VUT,RVN,1525,12,3,7,983,0
RQ,PTB,TVQ,2226,9,1,4,1891,0
RQ,CHP,QFT,1626,6,4,6,185,0
HH,PCT,QTX,1150,2,22,2,89,0
TT,PIH,OYT,639,10,24,2,2585,0
NB,YPU,QTP,1649,11,24,5,2283,0
BN,QTX,OPU,708,4,5,3,1536,0
XJ,UYV,YTL,603,10,28,6,1117,0
TP,URX,PBT,1602,11,1,2,859,0
RQ,QFT,CHP,602,1,26,3,185,0
WP,UYV,ULQ,955,3,27,1,267,0
TT,RMT,OYT,1524,1,27,5,920,0
NB,SRW,VUT,710,3,1,3,587,0
TT,TVQ,HSR,1642,3,25,5,606,0
TT,DIE,QTX,1053,7,2,6,2475,0
AG,COY,HSR,1536,6,13,2,116,0
BN,RVN,YBR,1720,11,27,1,231,0
TT,PVQ,HSR,1248,10,7,6,258,0
AG,HSR,QTB,1127,12,20,3,179,0
BN,OPU,TBM,2136,6,15,3,2518,0
WP,ULQ,SYM,1348,10,31,1,198,0
NB,QTX,ULQ,1333,12,4,1,2401,0
TT,DTX,RIN,625,9,5,1,919,0
NB,CBT,QTX,1343,6,4,7,1797,0
WT,QTX,QTP,1305,10,28,6,236,0
RQ,HSI,TVQ,1503,11,13,1,516,1
RQ,QYV,TVQ,656,12,8,5,453,0
WP,RMT,QFT,1302,7,29,5,214,1
RQ,CRQ,MGF,1319,1,26,3,661,0
WP,CHP,QTP,859,2,4,6,2381,1
TT,PVQ,PJT,1417,9,16,5,1710,0
HH,POI,PQM,733,1,23,1,532,0
XJ,OMY,MQJ,1834,1,5,4,694,0
NB,ULQ,QTX,839,11,6,1,2401,0
XJ,MQJ,CRQ,1245,3,18,6,475,0
TT,PTV,HSR,808,11,8,2,1041,0
NB,CWI,CNY,830,5,4,3,281,1
OZ,HSR,PAS,1311,3,20,7,607,0
NB,URX,ORN,716,11,9,3,1751,0
TP,PJT,POI,644,3,29,2,605,0
NB,PBT,POI,2035,9,28,3,404,0
TT,RIN,QTP,1435,5,16,1,1055,0
MH,JNS,IQQ,1736,10,29,7,1065,0
OZ,LPG,RIN,1546,4,6,3,603,1
HL,MGF,OPB,1343,9,27,3,373,0
IQ,TVQ,VUT,1845,10,15,6,406,1
BN,QTP,YBR,2318,1,16,7,1591,0
LU,PQM,ULX,1336,7,25,1,507,0
LT,LBQ,QYL,1014,10,24,1,102,0
HL,CHP,RMT,1933,3,5,7,399,0
OZ,QYV,RIN,1319,6,9,5,304,0
RQ,TVQ,UCY,1420,11,21,1,545,1
WT,RJB,TCZ,1952,4,1,5,349,0
NB,JQU,RTQ,1920,10,3,2,562,1
OZ,RMT,DIE,1759,5,22,1,213,0
HL,VSY,TVQ,530,5,12,4,227,0
RQ,TVQ,LPG,1221,5,5,5,151,0
NB,CBT,ORN,2000,6,24,5,395,0
TP,PJT,PIH,1533,12,19,1,679,1
NB,URX,POI,925,11,30,3,479,0
HL,MGF,QJX,1908,10,24,1,70,1
IQ,IQQ,TVQ,641,4,11,1,581,0
OZ,HOT,HSR,707,2,7,1,416,0
TT,RIN,HFF,1159,9,8,5,3711,0
NB,TCZ,HTE,805,7,23,6,889,0
WT,HSR,VUT,632,3,11,6,1012,0
TT,HSR,TVQ,1443,11,8,3,606,0
BN,OPU,TWP,1915,8,27,7,1042,0
HH,PQM,IMT,1730,8,7,7,532,0
HH,STU,RJB,1440,2,11,6,301,0
WT,SHM,HSR,1701,12,25,7,528,0
HH,PQM,PWB,1329,9,24,7,223,0
JG,TVQ,SHM,2017,7,5,2,749,1
C6,QFC,HTE,2002,10,7,5,353,0
MH,PQM,YTL,1350,1,21,5,1195,0
OZ,PLG,RIN,1315,2,26,7,190,0
HH,QTX,PDM,1602,2,24,5,308,0
BN,OPB,OPU,1815,9,6,3,228,0
RQ,TVQ,UCY,1557,3,20,1,545,0
TP,PJT,PIH,1219,5,10,2,679,0
OZ,YMV,HSR,1301,10,18,2,588,0
IQ,ORN,OPU,1545,12,10,7,349,0
BN,MLP,RVN,828,4,29,5,668,0
JG,QIV,TVQ,540,7,5,2,503,0
JG,TVQ,VWQ,1600,12,3,6,674,0
MH,PIH,JNS,1602,3,27,7,2565,0
OZ,FPU,RIN,1300,3,12,7,862,0
RQ,PIH,MGF,1037,1,7,5,2036,0
BN,DIE,RVN,855,7,31,1,508,0
TT,ULX,HSR,1127,10,12,3,1440,0
IQ,IBV,QTP,1544,11,3,4,1733,0
NB,PTV,RTQ,628,7,5,3,248,0
NB,ORN,CNY,750,2,18,5,611,0
BN,ULQ,RVN,921,5,5,5,453,0
OZ,CWI,QFT,1135,3,11,5,292,0
HH,PJT,URX,639,8,4,4,129,0
JG,CVS,TVQ,545,6,14,3,449,0
XJ,LPG,JNS,1614,10,17,1,806,1
HH,MQR,QTX,1743,7,9,6,86,1
RQ,TVQ,PDW,1815,4,25,2,1547,0
NB,URX,ULX,642,1,6,5,1009,0
RL,OMH,FPH,910,4,21,4,534,0
NB,ULQ,UYV,1056,2,10,5,267,0
BN,IBV,RVN,642,9,13,2,56,0
NB,HBV,HTE,710,8,20,7,361,0
RQ,RTA,TVQ,1142,9,8,4,432,0
NB,QTX,ULX,800,4,24,7,370,0
OZ,VHQ,HSR,942,2,14,1,214,0
WT,YBR,HSR,835,1,23,7,177,0
RQ,JNS,TVQ,656,8,2,3,745,0
NB,PRI,PVQ,815,12,2,5,254,0
HH,ITS,RJB,1833,7,28,4,627,0
NB,DTX,CNY,1635,7,20,3,663,0
WT,QTX,QTP,1621,2,9,4,236,0
WT,YTR,HSR,952,5,30,2,589,0
OZ,RCZ,HSR,1713,4,12,3,147,0
OZ,MQJ,RIN,1330,6,27,2,1021,0
HH,TWP,HSR,1450,2,21,1,978,1
HH,PQM,PWB,2104,6,8,4,223,0
WP,ULX,YBR,1912,1,9,1,1489,1
IQ,TVQ,SHM,912,11,28,2,749,0
IQ,JNS,TVQ,2110,5,5,5,745,0
HH,PCU,PIH,2023,1,9,1,191,0
XJ,YTL,XBT,1854,9,15,4,438,0
WP,ULQ,CBT,1453,10,18,2,675,0
NB,ORN,ULX,1520,1,16,1,1444,0
TT,QTX,QTP,1517,10,9,7,236,0
WT,UGR,HSR,650,6,11,6,849,0
RQ,PBT,TVQ,842,4,1,5,1919,0
OZ,MTJ,RIN,1625,7,23,7,922,1
LU,QTP,CHP,1555,7,8,5,2381,0
NB,PTV,QTP,1125,11,22,2,1069,0
OZ,SRW,CHP,1022,3,12,6,612,0
TT,HSR,SBH,1938,3,6,1,1671,1
TT,RIN,QFT,738,1,6,4,1389,0
NB,OLV,CNY,1409,9,14,4,377,1
RQ,TVQ,OPU,1829,3,1,2,906,0
MH,JNS,CHP,650,2,28,1,200,0
RQ,TVQ,HSI,2227,11,8,3,516,0
TT,OYT,QTX,1108,2,15,3,2342,0
TT,YBR,RIN,931,11,30,3,762,0
OZ,RIN,OHC,953,5,4,4,540,1
TT,RIN,PDM,1751,4,12,2,1438,0
RQ,OPA,TVQ,847,12,29,5,425,0
RQ,TVQ,QTX,1656,10,26,4,1946,0
TT,RIN,PTB,1816,4,4,2,1171,0
RQ,RMT,MGF,1655,5,12,5,411,0
TT,ULQ,OYT,626,10,19,4,1013,0
NB,CNY,PRI,2200,6,27,1,495,0
NB,ORN,URX,1831,10,13,5,1751,1
WT,ULQ,HSR,830,12,26,2,678,0
XJ,DIE,MQJ,1745,2,18,5,425,0
C6,QFC,DIE,1103,3,24,4,2465,0
NB,PTB,HTE,1640,6,4,6,446,0
C6,URX,DIE,13,5,20,5,2454,0
OZ,RIN,INT,1903,12,5,1,859,0
HH,VWP,RJB,1821,3,24,5,639,0
TP,URX,PDM,1544,8,1,1,569,0
TT,RIN,OMH,700,4,9,7,984,0
BN,OEJ,OJO,1102,4,21,5,556,0
OZ,PFI,RIN,1658,8,3,4,364,1
NB,HTE,PTB,1031,7,26,3,446,0
OZ,RIN,MSU,1318,5,14,6,354,1
XJ,CVG,JNS,1255,3,5,6,266,0
BN,OPU,PDM,1744,6,15,3,1576,0
TT,PVV,DIE,1426,3,5,6,1623,1
HL,RJB,MGF,1100,10,23,1,1069,0
JG,ORV,TVQ,600,5,11,4,619,0
NB,CBT,OPA,1014,7,29,6,471,0
WT,RJB,TCZ,1744,2,6,7,349,0
HH,PIH,PCU,814,6,17,6,191,0
MH,JNS,TWP,1805,5,18,3,1504,0
TP,NSF,EVB,1637,11,22,3,82,0
NB,HBV,ULX,1620,10,29,6,325,0
RQ,TVQ,DTB,1241,10,27,4,341,0
XJ,MQJ,PAS,1112,8,24,4,317,0
WP,RMT,MQJ,1056,3,2,3,310,0
NB,VUT,IQQ,1900,10,21,6,197,0
OZ,MQV,OYT,1409,6,10,5,650,0
TT,OYT,RIN,1658,9,2,6,1121,0
NB,CNY,OMH,749,11,10,5,787,0
NB,IQQ,CNY,1745,4,30,6,925,0
OZ,RIN,QCC,2041,10,28,6,282,0
WP,UGR,RMT,1724,7,19,2,357,1
TT,QTX,QYL,1720,1,1,7,2615,1
WT,JFJ,RJB,810,3,14,1,121,0
NB,SRW,CNY,937,9,2,6,255,0
TP,HBV,PJT,1006,1,5,4,956,0
RQ,QTX,MGF,703,11,19,6,1900,0
IQ,TVQ,DTX,2112,4,21,5,270,0
LU,ULX,QTP,727,8,23,2,256,0
BN,OPU,PTV,1929,4,7,5,1097,0
NB,QYV,ULX,732,8,16,3,1136,0
RQ,TVQ,UGR,1706,8,28,7,903,0
MH,UGR,JNS,713,10,20,5,160,0
TT,PVQ,OMH,707,3,7,1,880,0
WP,CHP,ULQ,1925,6,15,4,280,0
IQ,CHP,ULQ,1754,8,6,7,280,0
WP,ULQ,PDW,746,11,5,7,1576,0
AG,ULX,TWP,908,10,3,2,872,0
HH,PQM,YRT,1720,2,28,2,188,0
HH,AWO,QTX,1341,7,31,7,237,1
OZ,MQJ,HSR,840,11,28,1,316,1
HH,RJB,CLO,1033,12,21,3,1082,1
RQ,OMH,TVQ,709,11,24,5,403,0
I9,RJB,PDM,2125,3,1,3,948,0
WP,OMH,UYV,1446,4,18,1,834,0
WP,MQV,SRW,1114,2,3,5,130,0
OZ,QJX,RIN,1307,10,24,2,785,0
BN,OPU,OPB,1259,1,1,6,228,0
NB,HTE,CWS,1341,11,7,2,325,0
I9,RJB,TWP,1036,11,1,3,775,0
BN,OPU,CHP,1318,4,20,4,1124,0
HH,PIH,TMG,1806,5,30,2,250,1
OZ,OYT,MQJ,2149,1,6,4,1080,1
OZ,RMT,QFT,850,7,23,7,214,0
TT,VWQ,RIN,837,3,14,2,237,0
RQ,QTP,CHP,2358,11,17,4,2381,0
RL,YTR,CVG,1448,3,1,2,442,0
OZ,QFT,UYV,2023,12,29,5,335,1
RQ,TVQ,MOL,1653,10,19,3,446,0
TT,QTP,RIN,700,4,28,5,1055,0
RL,YTR,OLV,2212,3,4,5,418,1
WT,QTX,YTR,1008,8,12,6,2288,0
WP,ULQ,SRW,1142,8,28,7,336,1
JG,PTV,PQM,832,8,11,5,1086,0
HH,QTX,MQR,1846,2,11,5,86,0
OZ,HSR,VAP,1954,6,18,7,475,0
OZ,QPJ,HSR,1857,10,13,5,215,0
NB,IQQ,DTX,1230,5,16,1,318,0
AG,UPU,ULX,938,12,21,4,261,0
XJ,JNS,VAP,1843,3,3,4,631,0
NB,TWP,RTQ,1922,2,24,4,189,1
RQ,CHP,IQQ,1620,12,29,4,1237,1
NB,PTB,ULX,1205,5,30,2,304,0
HH,RJB,UPM,910,6,11,7,853,0
HH,MSN,HSR,641,7,31,1,416,0
MH,SPN,YTL,1234,10,17,2,861,0
NB,TOT,RTQ,1819,8,28,1,324,0
TT,RIN,OYT,1541,3,11,5,1121,0
HL,YTL,MGF,1200,2,27,1,871,0
WT,QTX,HSR,2320,4,27,3,1745,0
WT,ULX,PIH,622,1,8,7,651,0
RQ,OMH,QTX,712,3,24,4,2217,1
TT,PDM,RIN,1227,5,6,6,1438,0
JG,VWQ,PQM,808,10,8,6,926,0
WP,MQV,PIH,739,6,5,7,2296,0
IQ,CNY,RIN,1825,8,5,6,1217,0
HL,MGF,OAS,930,5,10,2,489,0
TP,PJT,TBM,1028,9,4,1,1449,1
WP,ULX,RIN,1008,11,9,4,868,0
NB,CNY,OMH,654,9,19,2,787,0
TT,HSR,PDM,812,9,28,3,1829,1
WP,OPA,ULQ,754,1,13,4,1088,0
WT,RJB,CHP,1829,12,17,7,1754,0
NB,POI,HBV,1619,9,6,2,389,0
BN,OPU,RMT,716,9,20,2,931,0
OZ,HSR,RPO,2045,7,11,1,299,1
NB,QTX,QTP,1725,12,4,7,236,0
HL,OYT,DIE,1320,8,23,3,1090,0
XJ,CRQ,MQJ,610,12,9,5,475,0
WP,ULQ,SYM,1739,7,5,2,198,0
BN,RMT,RVN,1355,5,8,7,405,0
BN,RVN,VUT,1543,9,6,3,983,1
NB,POI,PJT,2036,10,25,3,605,0
XJ,RTA,YTL,1805,9,5,1,929,0
NB,HTE,CWS,1715,1,8,6,325,1
RQ,CLO,TVQ,1431,2,28,2,134,0
TT,RIN,PTV,801,9,10,7,247,0
WT,PIH,QTX,558,2,2,4,337,0
HH,PCU,PIH,1420,2,25,6,191,0
LU,CNY,ULX,1010,12,18,7,1999,0
OZ,HSR,VHQ,742,10,24,2,214,0
WP,QTP,OYT,117,5,15,1,2175,1
RQ,TVQ,CBT,1157,4,23,6,214,0
WT,PIH,OMH,1242,9,25,7,2445,0
WP,HSR,MQV,1745,3,1,3,599,1
WP,QTX,ULX,1549,5,30,2,370,0
HL,OJO,MGF,1150,9,17,7,403,0
XJ,OMY,YTL,1253,11,9,3,643,0
XJ,MQJ,RMT,1135,12,22,5,310,0
AG,DIE,YTR,1240,4,26,3,228,0
XJ,OPU,MQJ,1137,1,22,7,622,0
WP,QTP,DIE,1806,3,23,4,2248,0
BN,TBM,OPU,2137,6,3,6,2518,0
JG,OFO,TVQ,2041,9,30,5,147,1
HL,HEM,MGF,705,3,5,7,756,0
HL,CLO,MGF,1627,10,17,2,396,0
RQ,RMT,PQM,1713,1,12,4,1851,0
TT,RIN,HEM,1154,11,28,2,175,0
HL,MGF,FPH,1625,1,3,2,330,0
OZ,JNS,SRW,1805,2,28,2,416,1
WT,DIE,QTX,2047,9,11,7,2475,0
WT,RMT,HSR,1833,11,19,7,612,0
WP,PAS,ULQ,1757,8,29,1,228,0
BN,PJT,OPU,857,4,23,7,1399,0
NB,QTP,ULQ,1155,4,20,3,2176,0
OZ,RIN,QTN,1345,6,4,6,140,0
HH,CYP,RJB,1253,8,21,1,517,0
RL,YTR,DTX,919,2,22,2,631,0
NB,ULX,PTB,2130,6,8,3,304,0
XJ,UCY,YTL,1147,5,18,4,956,0
XJ,OEJ,JNS,1313,5,31,2,725,0
HL,PFI,MGF,530,2,4,5,491,0
JG,SHT,TVQ,1021,10,26,4,357,0
RQ,UCY,QFT,1222,5,13,6,1035,1
TT,QTX,RIN,630,1,11,3,1235,0
XJ,SYM,JNS,638,12,1,5,278,0
OZ,MGF,HSR,1122,2,17,4,264,1
NB,QTX,HTE,1330,9,6,2,337,0
RQ,TVQ,UCY,850,7,25,1,545,0
NB,ULX,PQM,1330,4,8,6,507,0
JG,MTJ,MGF,1015,6,10,6,404,0
NB,CBT,RVN,1840,1,21,6,457,0
HH,RJB,QBE,1031,10,16,1,423,0
WP,CHP,QFT,1455,7,25,2,185,0
JG,TVQ,CVS,2144,12,1,4,449,0
WP,OMH,UYV,1151,11,8,2,834,0
WT,HSR,QTP,639,5,2,1,1515,0
HH,ULX,PQM,1330,5,26,4,507,0
WP,UYV,RJB,1944,7,1,5,1290,0
TP,UPU,PIH,1632,2,1,3,421,0
HH,PBT,PQM,639,6,29,4,588,0
AG,LBQ,HFF,2305,10,15,7,100,1
OZ,CHP,QFT,1450,2,6,1,185,0
JG,TVQ,RLB,2031,10,23,1,171,0
BN,FSC,OPU,1439,11,1,3,252,0
XJ,MQJ,CVG,1849,4,9,7,489,0
NB,SRW,QTP,1345,2,22,2,2027,0
NB,PRI,ORN,843,8,5,6,271,0
NB,TCZ,VWP,1935,2,6,7,321,0
NB,CLO,VUT,2115,1,22,6,460,1
WP,MQV,RMT,1758,8,3,4,331,1
MH,YTL,TVQ,1344,9,10,7,689,0
HH,PQM,HEM,1643,1,10,1,866,0
XJ,JNS,CNY,2138,9,25,7,169,1
WT,YTR,HSR,956,7,11,1,589,0
TT,PDW,OYT,1255,10,30,1,1045,0
LU,HBV,ULX,1251,1,8,6,325,0
WP,OMH,ULX,738,6,5,1,1848,0
NB,PTB,POI,846,10,13,5,480,0
WP,CHP,QFT,958,4,15,5,185,0
HH,YUQ,QTX,559,8,24,4,181,0
XJ,MQV,JNS,1929,10,19,3,529,1
AG,YTR,TVQ,1701,8,29,2,533,1
BN,QTX,OJO,710,2,14,2,1619,0
OZ,MOY,HSR,1141,1,25,3,135,0
C6,IQQ,DIE,1246,10,21,6,1069,0
TP,VWP,PJT,2051,3,21,2,1216,0
RQ,CHP,IQQ,809,4,17,7,1237,0
RQ,QFT,CHP,1930,12,5,2,185,0
BN,RIN,OPU,754,6,21,2,852,0
IQ,RIN,TVQ,525,7,15,5,732,0
XJ,PAS,MQJ,1506,10,6,5,317,0
TT,HSR,OMY,1518,6,29,4,403,1
TP,URX,ULX,1618,6,23,4,1009,0
MH,YTL,TWP,1437,9,20,3,140,0
NB,QTX,HTE,1715,2,26,7,337,0
HH,RJB,OPH,1103,5,23,2,679,0
TT,RIN,CNY,2116,7,16,6,1217,0
WP,RMT,OMH,1143,11,16,3,759,0
LT,QYL,LBQ,2000,11,13,1,102,0
NB,HSI,DTX,1900,9,29,4,543,0
TT,RIN,PIH,1645,12,20,2,1464,0
OZ,PDM,QTX,1600,4,14,4,308,0
HH,LQB,PQM,1457,6,7,3,402,0
NB,SRW,ORN,1603,8,8,2,632,0
HL,INT,MGF,1607,2,2,3,136,0
WT,HSR,PIH,1859,10,2,1,1846,1
XJ,FPU,MQJ,1743,11,3,5,450,0
OZ,RIN,QYV,1611,11,13,1,304,0
HL,MGF,OEJ,1109,10,20,4,318,0
MH,JNS,UCY,1652,9,22,4,1024,0
XJ,PLG,YTL,552,9,26,2,192,0
XJ,MQJ,CWI,1855,10,20,5,192,0
OZ,QSR,RIN,1521,6,24,6,394,0
HH,RJB,CBT,1015,7,14,4,1013,0
HH,HSR,PTV,1744,3,24,5,1041,0
NB,ORN,QTP,1924,6,30,4,1521,0
OZ,PVQ,CHP,940,3,12,7,1046,1
NB,UYV,ORN,1835,8,26,5,402,0
NB,PQM,HTE,1935,6,6,1,588,0
RQ,PQM,RIN,1301,7,2,6,988,0
WP,ULQ,YBR,1928,5,2,1,587,1
NB,ULX,PJT,1520,2,8,2,1107,0
MH,JNS,SRW,1745,7,31,7,416,0
XJ,HEM,YTL,1202,10,29,7,395,0
XJ,YTL,FSS,1915,6,26,7,1042,0
XJ,YTL,PVQ,1033,8,10,4,668,0
OZ,HSR,VAP,1117,5,19,5,475,0
XJ,MGF,YTL,657,4,4,2,871,0
XJ,YTL,OHC,727,1,25,3,427,0
LU,QTX,ULX,1240,10,20,4,370,0
I9,RVN,RJB,1615,9,25,7,1123,0
RQ,TVQ,UYV,833,3,15,2,526,0
TT,RIN,HEM,1328,6,27,1,175,0
OZ,QTX,ITV,1700,6,19,7,209,0
BN,OPU,HOT,1427,9,1,4,282,1
HH,PIH,PCT,754,7,2,7,262,0
HL,MGF,MTE,1630,3,12,6,214,0
XJ,MQJ,ORV,1546,7,2,7,280,0
HH,OSA,PIH,1504,7,31,7,77,0
C6,DIE,SYM,1220,9,27,3,288,0
IQ,TVQ,ORN,1400,12,10,6,590,0
HH,MUS,PQM,1956,9,22,4,320,0
NB,QTP,POI,645,7,25,1,397,0
RL,YTR,FPH,1325,4,12,2,239,0
NB,RTQ,LHW,715,11,18,5,239,0
TZ,LBQ,EHT,516,7,8,6,163,0
AG,ULX,VWP,2058,8,14,1,110,1
NB,CNY,ORN,615,2,7,1,611,0
OZ,RIN,MSU,912,12,9,5,354,0
HH,RJB,PQM,554,1,9,1,391,0
NB,CNY,IQQ,1830,2,23,3,925,0
MH,CHP,YTL,1038,9,15,5,1597,0
NB,ORN,QTP,1215,12,8,5,1521,1
TT,QFT,RIN,1245,2,15,3,1389,1
NB,QTP,HTE,1325,12,1,4,407,0
MH,JNS,CHP,1329,6,25,7,200,0
HH,CHY,PIH,1100,4,23,7,522,1
LT,YVH,LBQ,1730,4,28,4,216,0
WT,QTX,LBQ,1912,6,11,6,2556,1
NB,POI,PTB,1355,6,28,2,480,0
OZ,QFT,SRW,1939,10,3,1,431,0
HL,MQV,MGF,715,9,23,5,335,0
AG,QYL,LBQ,1020,8,1,2,102,0
LU,ULX,PTB,1428,12,21,3,304,0
TT,YTL,HSR,1639,9,11,7,925,0
RQ,DIE,QTP,2054,5,23,1,2248,0
XJ,QCC,YTL,803,3,22,2,458,0
OZ,RIN,VWQ,1545,3,19,6,237,0
MH,MQJ,OMH,1527,8,19,5,895,0
TT,RIN,QFT,918,5,1,1,1389,0
HL,TVQ,RTA,2100,8,19,6,432,0
AG,HSR,FPH,2055,3,9,4,590,0
RQ,TVQ,CVS,924,12,25,7,449,0
C6,QFC,HTE,957,9,15,5,353,0
NB,OLV,CNY,1045,6,15,4,377,0
TT,TVQ,HSR,1058,10,31,2,606,0
HH,UPM,PQM,504,9,2,5,521,0
RQ,OPA,TVQ,517,6,11,6,425,0
HH,HSR,HOT,1705,8,14,7,416,0
RQ,DIE,IQQ,838,8,22,2,1069,0
WT,OMY,RJB,635,1,14,5,533,0
LU,ULX,RJB,1239,1,18,2,602,0
RQ,QTX,PQM,1742,12,31,7,590,0
BN,MQV,OPU,1733,6,16,5,930,0
BN,OYT,RVN,757,11,12,7,1145,0
WP,MQV,VUT,1637,8,8,2,508,1
NB,ORN,QTX,932,10,16,1,1750,0
NB,TOT,RTQ,1332,8,5,6,324,0
WT,HSR,RMT,1649,8,16,2,612,0
IQ,TVQ,ULI,1935,7,15,5,508,0
WT,LBQ,PIH,2132,7,23,7,2398,0
TP,PJT,HBV,629,4,26,2,956,0
HL,HSI,MGF,1345,3,25,5,485,0
RQ,TCZ,MGF,922,3,21,1,1240,0
RL,YTR,TQC,1836,2,21,1,325,0
WT,HSR,CWI,2105,11,1,2,473,0
WP,HSR,RMT,840,3,22,2,612,0
JG,HOT,TVQ,1655,2,6,1,821,0
MH,YTL,PBT,921,2,18,5,1347,1
IQ,SHM,CNY,1405,10,31,1,277,0
NB,RVN,CBT,1602,12,10,7,457,0
OZ,HSR,OEJ,1721,11,7,1,67,0
LU,ULX,OPU,1514,7,19,2,1276,0
LU,QTP,PJT,933,8,24,3,866,0
OZ,CHP,RMT,1054,7,29,5,399,0
WP,MQV,OMY,1446,5,8,7,809,0
XJ,HSI,MQJ,1810,10,10,1,435,0
NB,OMY,PVQ,825,4,10,7,237,0
TT,RIN,HSR,1443,6,7,3,802,1
MH,YTL,SBH,919,9,26,2,1530,0
WP,ULX,QTP,1118,11,12,7,256,0
HH,QBE,RJB,712,6,11,7,423,0
AG,MHP,ULX,1746,2,19,7,551,0
NB,ORN,LHW,815,10,18,2,937,0
BN,OPU,QTP,924,9,9,6,1300,0
BN,LBQ,OPU,1820,3,15,2,3972,0
LT,URX,LBQ,847,2,16,4,2603,0
OZ,OYT,SYM,1345,6,19,7,826,1
OZ,RIN,MQJ,1410,3,2,3,1021,1
OZ,RIN,MGF,1234,8,23,3,812,0
NB,CBT,CNY,2125,12,27,2,588,1
WT,CHP,HSR,1802,9,12,1,867,0
NB,POI,HBV,1840,10,13,5,389,0
WT,YTL,HSR,1725,12,12,1,925,1
TP,PDM,PJT,920,7,27,4,697,1
TP,QTP,PJT,1756,4,2,7,866,0
MH,YTL,PJT,746,7,30,6,1874,0
NB,CNY,DTX,800,2,16,3,663,0
MH,JNS,OPA,1539,3,12,6,1167,0
WP,ULQ,PAS,1627,9,15,4,228,0
I9,PVQ,RJB,1923,6,12,1,770,1
